Num Words,Model,Accuracy,F1 Score
3000,GradientBoosting,0.7671415850400712,0.5678056767313645
5000,GradientBoosting,0.7707034728406055,0.5428507969203444
10000,GradientBoosting,0.773820124666073,0.5818308462216297
20000,GradientBoosting,0.7720391807658059,0.5912183404525776
1000,GradientBoosting,0.7435,0.4005
