Num Words,Model,Accuracy,F1 Score
1000,MultinomialNB,0.717720391807658,0.21167267497972714
1000,LinearSVM,0.8116651825467498,0.6076713288223927
1000,LogisticRegression,0.7920747996438112,0.4291989915184466
1000,ComplementNB,0.7404274265360641,0.2941833944130144
1000,DecisionTree,0.6825467497773821,0.382016163910374
1000,RandomForest,0.7747105966162066,0.44406817816593536
1000,Voting (LR+CNB),0.7591273374888691,0.31978873146379755
3000,MultinomialNB,0.6981300089047195,0.16286141358207806
3000,LinearSVM,0.8268032056990204,0.6797130083219496
3000,LogisticRegression,0.8058771148708815,0.5143125750809433
3000,ComplementNB,0.7658058771148709,0.45131914906129295
3000,DecisionTree,0.6994657168299199,0.44204289748553843
3000,RandomForest,0.767586821015138,0.45462270023579343
3000,Voting (LR+CNB),0.7756010685663401,0.4170314742865807
5000,MultinomialNB,0.6834372217275155,0.13203384912314142
5000,LinearSVM,0.8236865538735529,0.6726236019728734
5000,LogisticRegression,0.802760463045414,0.5049961035676941
5000,ComplementNB,0.7707034728406055,0.4714580618723121
5000,DecisionTree,0.7021371326803205,0.444801759539694
5000,RandomForest,0.7586821015138023,0.43733648203773506
5000,Voting (LR+CNB),0.7764915405164737,0.429113255740904
10000,MultinomialNB,0.6651825467497774,0.10118400561592743
10000,LinearSVM,0.8281389136242209,0.6845123860815395
10000,LogisticRegression,0.7978628673196795,0.48227591422786853
10000,ComplementNB,0.773820124666073,0.4947745246557602
10000,DecisionTree,0.697239536954586,0.43616798994918166
10000,RandomForest,0.7555654496883348,0.42495786892925225
10000,Voting (LR+CNB),0.7707034728406055,0.41389056429919474
20000,MultinomialNB,0.6277827248441674,0.08201358063001706
20000,LinearSVM,0.8254674977738201,0.6785547111798275
20000,LogisticRegression,0.796527159394479,0.47726773515325904
20000,ComplementNB,0.7680320569902048,0.4618797853643411
20000,DecisionTree,0.6981300089047195,0.43882126592018184
20000,RandomForest,0.7453250222617988,0.3961193516336829
20000,Voting (LR+CNB),0.7666963490650045,0.39118839076982703
30000,MultinomialNB,0.6104185218165628,0.07233952341518811
30000,LinearSVM,0.8272484416740873,0.6830242216431315
30000,LogisticRegression,0.7956366874443455,0.47418764188196155
30000,ComplementNB,0.7600178094390027,0.44069049630848744
30000,DecisionTree,0.6923419412288513,0.431723161900719
30000,RandomForest,0.7408726625111309,0.4192060095642547
30000,Voting (LR+CNB),0.7586821015138023,0.36285457050042086
3000,GradientBoosting,0.7671415850400712,0.5678056767313645
5000,GradientBoosting,0.7707034728406055,0.5428507969203444
10000,GradientBoosting,0.773820124666073,0.5818308462216297
20000,GradientBoosting,0.7720391807658059,0.5912183404525776
1000,GradientBoosting,0.7435,0.4005
1000,1D-CNN,0.7582368655387355,0.28038237490403184
3000,1D-CNN,0.7546749777382012,0.3512804942948547
5000,1D-CNN,0.7577916295636687,0.34679971872716736
10000,1D-CNN,0.7546749777382012,0.36306728691204787
20000,1D-CNN,0.7644701691896705,0.3955128546271963
30000,1D-CNN,0.7591273374888691,0.4191302801255916
